iter	Logloss
0	0.6663687761
1	0.6413995428
2	0.6173300605
3	0.5932413523
4	0.5730108947
5	0.5532824168
6	0.5352624623
7	0.5198414448
8	0.5051795738
9	0.4930122264
10	0.4786876642
11	0.4654144314
12	0.4529709511
13	0.4401756154
14	0.4292567578
15	0.4204043884
16	0.4115284157
17	0.4032864851
18	0.3948162434
19	0.3892304149
20	0.38083475
21	0.3741818042
22	0.36755074
23	0.3624602905
24	0.3568383256
25	0.3520154221
26	0.3468815044
27	0.3412709476
28	0.3364775488
29	0.3316637824
30	0.3264249345
31	0.322456757
32	0.3181425024
33	0.3153119611
34	0.3121492218
35	0.309240951
36	0.3066540804
37	0.3037488974
38	0.3004857927
39	0.2979967769
40	0.2950763525
41	0.2916868813
42	0.2891065327
43	0.2865060156
44	0.2833671713
45	0.2799511998
46	0.2779930652
47	0.2762984562
48	0.2744413248
49	0.2728031824
50	0.2708494623
51	0.2694472013
52	0.2676005844
53	0.2657671579
54	0.2645551268
55	0.2630655392
56	0.2616679285
57	0.258481459
58	0.2560267156
59	0.2540289203
60	0.251857653
61	0.2501337945
62	0.24893567
63	0.247679881
64	0.2460015629
65	0.2445943224
66	0.2432539121
67	0.2420711086
68	0.2410085869
69	0.2393183654
70	0.238257554
71	0.2370020291
72	0.235798713
73	0.2340292718
74	0.2327240756
75	0.2318904859
76	0.2311524552
77	0.2298554624
78	0.2286218072
79	0.2271584585
80	0.2262829502
81	0.2258690054
82	0.2244909013
83	0.2237070039
84	0.2225568202
85	0.2212406897
86	0.2205798177
87	0.2194268947
88	0.2186991764
89	0.2171684054
90	0.2157072605
91	0.2147625979
92	0.213852548
93	0.212961342
94	0.2121614612
95	0.2109877809
96	0.2098236702
97	0.2096954977
98	0.2085357242
99	0.208098429
100	0.206959723
101	0.2065659533
102	0.2059424044
103	0.2050557211
104	0.2047096848
105	0.2039713668
106	0.2033817587
107	0.2026872541
108	0.2022185687
109	0.2008665803
110	0.2005947437
111	0.2003450097
112	0.1997169807
113	0.1988135182
114	0.1984226667
115	0.198012554
116	0.1978842328
117	0.1976477235
118	0.1974579166
119	0.1971902035
120	0.1962389676
121	0.1955291706
122	0.195298393
123	0.1949465651
124	0.1943504714
125	0.1927582299
126	0.1919718747
127	0.1908290739
128	0.1902800323
129	0.1899674717
130	0.1886966244
131	0.1877061719
132	0.1863023706
133	0.185995042
134	0.1857313593
135	0.1855164033
136	0.1849279915
137	0.1843223355
138	0.1840699001
139	0.1836236438
140	0.1831177473
141	0.1827188686
142	0.1824902147
143	0.1822591104
144	0.1817571809
145	0.1810663606
146	0.1806841061
147	0.180228398
148	0.179652526
149	0.1793036442
150	0.1788260295
151	0.1783926513
152	0.1777520522
153	0.1767057435
154	0.1765083677
155	0.1761543789
156	0.1756567819
157	0.1752450044
158	0.1747828659
159	0.1740447243
160	0.1727389011
161	0.1726287237
162	0.1722686046
163	0.1713501201
164	0.1711902218
165	0.1708784595
166	0.1705679539
167	0.1703602756
168	0.1694386268
169	0.1688541566
170	0.1683123082
171	0.1670486564
172	0.1665447839
173	0.1661578961
174	0.1657382171
175	0.1656072873
176	0.1654291446
177	0.1653095508
178	0.1650696826
179	0.1646761062
180	0.1641968205
181	0.1639721434
182	0.1632266725
183	0.1624232157
184	0.1619253376
185	0.1617507619
186	0.1613118216
187	0.1608380343
188	0.1602419497
189	0.160097387
190	0.1598985886
191	0.1592557342
192	0.158774678
193	0.1586096941
194	0.1581772887
195	0.1576039918
196	0.156619479
197	0.1560739714
198	0.1558920992
199	0.1553110858
200	0.1549451882
201	0.1548482096
202	0.154553793
203	0.1541756738
204	0.1532760053
205	0.1530086945
206	0.1527438933
207	0.1524659273
208	0.152236189
209	0.1520990699
210	0.1515478993
211	0.1505254954
212	0.1502975394
213	0.149440334
214	0.1492793741
215	0.1489722995
216	0.1486359712
217	0.1484889523
218	0.1482610288
219	0.1480062618
220	0.1478124654
221	0.1471541315
222	0.1466007178
223	0.1459278671
224	0.1457903383
225	0.1454707947
226	0.1451113673
227	0.1446481101
228	0.1443828513
229	0.1442240895
230	0.1441030582
231	0.1431330741
232	0.1430729647
233	0.1428626894
234	0.1425607811
235	0.1416801629
236	0.1409866367
237	0.1403896246
238	0.1402747743
239	0.1399259973
240	0.1395756441
241	0.1393943219
242	0.1391834045
243	0.1385905035
244	0.1383957588
245	0.1377890656
246	0.1376658581
247	0.1375061079
248	0.1373894522
249	0.1366701055
250	0.1357933062
251	0.1357622194
252	0.1349625181
253	0.1341861149
254	0.1339028044
255	0.1332856982
256	0.1329220187
257	0.1328288319
258	0.1327096864
259	0.1324876243
260	0.1323851018
261	0.1321007262
262	0.1320161007
263	0.1311888103
264	0.1310995897
265	0.1309681937
266	0.1307205038
267	0.1305974877
268	0.1301370386
269	0.130038595
270	0.1295690447
271	0.1289695968
272	0.1280754394
273	0.1280045369
274	0.1279088804
275	0.1270015855
276	0.1269105676
277	0.1265842937
278	0.1256724136
279	0.1253538237
280	0.1250712007
281	0.125022418
282	0.1242031596
283	0.1240157931
284	0.1239241694
285	0.1238542771
286	0.1232880739
287	0.1230453507
288	0.1229220049
289	0.122769392
290	0.12269724
291	0.1220265632
292	0.1219229155
293	0.1208296579
294	0.1208011945
295	0.1199938546
296	0.119890317
297	0.1192699045
298	0.1182668477
299	0.1181942867
300	0.1178271486
301	0.1177613889
302	0.1176119864
303	0.117418026
304	0.1166516471
305	0.1165943309
306	0.1155929397
